ticker,company_name,year,market_cap,category,sector,price,ret_1d,low_52w,high_52w,from_low_pct,from_high_pct,sma_20d,sma_50d,sma_200d,ret_3d,ret_7d,ret_30d,ret_3m,ret_6m,ret_1y,ret_3y,ret_5y,volume_1d,volume_7d,volume_30d,volume_90d,volume_180d,vol_ratio_1d_90d,vol_ratio_7d_90d,vol_ratio_30d_90d,vol_ratio_1d_180d,vol_ratio_7d_180d,vol_ratio_30d_180d,vol_ratio_90d_180d,rvol,prev_close,pe,eps_current,eps_last_qtr,eps_change_pct
FINEORG,Fine Organic Industries Ltd,2002,"₹15,809 Cr",Mid Cap,Chemicals,"₹5,425.40",-0.57%,"₹3,407.00","₹5,958.85",59.24%,-8.95%,"₹4,998.15","₹4,759.29","₹4,537.55",2.36%,7.38%,15.50%,26.15%,22.90%,3.90%,8.87%,155.23%,"9,620","28,119","27,508","20,507","28,219",-53.09%,37.12%,34.14%,-65.91%,-0.35%,-2.52%,-27.33%,0.5,"₹5,456.50",40.52,133.89,138.74,-3.50%
RAINBOW,Rainbow Children's Medicare Ltd,1998,"₹15,509 Cr",Mid Cap,Healthcare Providers & Services,"₹1,547.10",1.48%,"₹1,079.10","₹1,709.60",43.37%,-9.51%,"₹1,517.63","₹1,438.57","₹1,450.92",1.03%,1.40%,6.67%,2.92%,6.69%,30.51%,205.06%,,"61,993","199,450","206,551","187,000","210,243",-66.85%,6.66%,10.46%,-70.51%,-5.13%,-1.76%,-11.06%,0.3,"₹1,526.60",64.76,23.93,21.18,12.98%
SHRIPISTON,Shriram Pistons & Rings Ltd,1963,"₹10,572 Cr",Mid Cap,Automobiles & Auto Parts,"₹2,344.60",-0.50%,"₹1,662.55","₹2,610.00",41.02%,-10.17%,"₹2,431.07","₹2,405.18","₹2,098.38",-1.33%,-5.35%,-4.06%,24.87%,19.73%,23.78%,552.56%,694.64%,"28,936","41,184","51,047","98,630","80,380",-70.66%,-58.24%,-48.24%,-64.00%,-48.76%,-36.49%,22.71%,0.3,"₹2,356.40",20.38,115.02,103.53,11.10%
DRCSYSTEMS,DRC Systems India Ltd,2012,₹253 Cr,Micro Cap,Software & IT Services,₹18.99,-0.21%,₹16.15,₹34.90,17.59%,-45.59%,₹19.11,₹19.17,₹23.95,0.53%,0.21%,-0.63%,-25.30%,-31.17%,-38.56%,89.33%,,"7,579","117,785","122,469","265,447","268,398",-97.14%,-55.63%,-53.86%,-97.18%,-56.12%,-54.37%,-1.10%,0.0,₹19.03,16.73,1.13,1.08,4.63%
BSHSL,Bombay Super Hybrid Seeds Ltd,2014,"₹1,440 Cr",Small Cap,Food & Tobacco,₹137.16,0.26%,₹115.82,₹208.00,18.43%,-34.06%,₹139.27,₹137.83,₹144.42,-0.20%,-2.24%,-2.03%,3.95%,-1.30%,-32.05%,232.03%,,"6,391","12,893","51,755","61,725","50,039",-89.65%,-79.11%,-16.15%,-87.23%,-74.23%,3.43%,23.35%,0.1,₹136.81,54.4,2.52,2.16,16.67%
BLS,BLS International Services Ltd,1983,"₹15,800 Cr",Mid Cap,Professional & Commercial Services,₹385.85,0.42%,₹308.25,₹521.80,25.17%,-26.05%,₹369.98,₹380.48,₹398.69,1.47%,2.84%,4.61%,-0.25%,-10.89%,5.98%,223.26%,2383.26%,"811,632","2,036,141","2,015,066","2,897,128","4,032,043",-71.98%,-29.72%,-30.45%,-79.87%,-49.50%,-50.02%,-28.15%,0.3,₹384.25,31.37,12.33,8.7,41.72%
ROLEXRINGS,Rolex Rings Ltd,2003,"₹4,143 Cr",Small Cap,"Machinery, Equipment & Components","₹1,525.00",0.34%,"₹1,210.40","₹2,794.00",25.99%,-45.42%,"₹1,540.56","₹1,514.74","₹1,690.35",0.90%,-1.78%,1.51%,14.48%,-14.65%,-36.28%,-12.46%,,"7,307","11,747","21,531","24,150","25,677",-69.74%,-51.36%,-10.85%,-71.54%,-54.25%,-16.15%,-5.95%,0.3,"₹1,519.80",23.93,63.89,57.84,10.46%
BRITANNIA,Britannia Industries Ltd,1918,"₹138,598 Cr",Large Cap,Food & Tobacco,"₹5,754.50",-0.54%,"₹4,506.00","₹6,469.90",27.71%,-11.06%,"₹5,746.38","₹5,614.52","₹5,229.47",-0.41%,-2.17%,3.49%,5.50%,17.99%,-1.84%,52.44%,52.03%,"74,976","196,479","250,614","254,341","377,064",-70.52%,-22.75%,-1.47%,-80.12%,-47.89%,-33.54%,-32.55%,0.3,"₹5,785.50",63.68,90.45,90.83,-0.42%
GLOBAL,Global Education Ltd,2011,₹333 Cr,Micro Cap,Miscellaneous Educational Service Providers,₹64.54,0.80%,₹41.00,₹90.00,57.41%,-28.29%,₹64.38,₹62.40,₹63.30,0.53%,-1.10%,-2.95%,32.69%,-3.33%,-12.31%,68.86%,,"5,847","24,330","53,879","75,293","87,269",-92.23%,-67.69%,-28.44%,-93.30%,-72.12%,-38.26%,-13.72%,0.1,₹64.03,11.65,5.54,15.89,-65.14%
KSOLVES,Ksolves India Ltd,2014,₹826 Cr,Small Cap,Software & IT Services,₹346.15,0.82%,₹310.50,₹617.65,11.48%,-43.96%,₹344.53,₹338.45,₹435.95,0.48%,-0.79%,0.36%,-22.47%,-27.71%,-41.91%,,,"27,001","25,165","40,347","70,902","80,818",-61.92%,-64.51%,-43.10%,-66.59%,-68.86%,-50.08%,-12.27%,0.4,₹343.35,23.91,14.47,29.96,-51.70%
SKMEGGPROD,SKM Egg Products Export India Ltd,1995,₹764 Cr,Small Cap,Food & Tobacco,₹305.75,-1.99%,₹154.00,₹320.35,98.54%,-4.56%,₹265.10,₹235.16,₹221.87,0.21%,12.86%,18.97%,52.16%,35.65%,22.42%,395.94%,807.27%,"18,552","158,429","70,634","86,313","72,400",-78.51%,83.55%,-18.17%,-74.38%,118.82%,-2.44%,19.22%,0.2,₹311.95,23.25,13.15,41.48,-68.30%
VOLTAMP,Voltamp Transformers Limited,1967,"₹9,772 Cr",Mid Cap,"Machinery, Equipment & Components","₹9,688.00",-0.59%,"₹6,051.00","₹14,800.00",60.11%,-34.54%,"₹9,279.63","₹8,816.88","₹8,911.22",1.02%,-1.48%,9.54%,33.29%,15.38%,-20.85%,212.10%,825.13%,"7,990","45,890","40,670","53,581","59,281",-85.09%,-14.35%,-24.10%,-86.52%,-22.59%,-31.39%,-9.61%,0.1,"₹9,745.50",30.05,321.65,332.13,-3.16%
ESABINDIA,ESAB India Ltd,1987,"₹8,062 Cr",Mid Cap,"Machinery, Equipment & Components","₹5,332.50",1.45%,"₹4,133.05","₹6,999.00",29.02%,-23.81%,"₹5,181.55","₹5,114.47","₹5,297.97",3.39%,0.26%,3.51%,15.58%,2.63%,-15.58%,59.83%,297.10%,"1,936","2,380","2,721","4,037","5,041",-52.04%,-41.04%,-32.61%,-61.59%,-52.78%,-46.02%,-19.91%,0.5,"₹5,256.50",46.81,113.98,107.23,6.29%
MAZDOCK,Mazagon Dock Shipbuilders Ltd,1934,"₹128,073 Cr",Large Cap,Aerospace & Defense,"₹3,111.00",-0.14%,"₹1,918.05","₹3,775.00",62.20%,-17.59%,"₹3,239.65","₹3,285.92","₹2,578.62",-0.11%,-5.59%,-1.75%,14.74%,39.52%,15.08%,2257.03%,,"370,719","1,121,407","2,382,529","4,422,901","4,216,264",-91.62%,-74.65%,-46.13%,-91.21%,-73.40%,-43.49%,4.90%,0.1,"₹3,115.40",51.96,59.83,114.96,-47.96%
GEEKAYWIRE,Geekay Wires Ltd,1989,₹368 Cr,Micro Cap,"Machinery, Equipment & Components",₹70.45,0.97%,₹63.19,₹147.80,11.49%,-52.33%,₹70.01,₹71.79,₹85.38,0.87%,1.59%,-2.08%,-11.53%,-23.22%,-24.47%,354.52%,329.84%,"18,528","64,966","76,520","94,083","88,651",-80.31%,-30.95%,-18.67%,-79.10%,-26.72%,-13.68%,6.13%,0.2,₹69.77,10.13,6.93,7.7,-10.00%
POLYCAB,Polycab India Ltd,1996,"₹100,553 Cr",Large Cap,"Machinery, Equipment & Components","₹6,965.00",0.29%,"₹4,555.00","₹7,605.00",52.91%,-8.42%,"₹6,537.00","₹6,214.07","₹6,206.33",2.46%,3.69%,14.02%,31.56%,7.95%,5.04%,223.39%,746.68%,"139,078","338,074","398,865","365,631","595,075",-61.96%,-7.54%,9.09%,-76.63%,-43.19%,-32.97%,-38.56%,0.4,"₹6,944.50",52.06,133.8,118.18,13.22%
CLEAN,Clean Science and Technology Ltd,2003,"₹15,143 Cr",Mid Cap,Chemicals,"₹1,456.40",1.08%,"₹1,106.45","₹1,690.00",31.63%,-13.82%,"₹1,454.21","₹1,413.57","₹1,365.55",0.05%,-0.60%,-0.67%,23.83%,6.16%,-1.34%,-9.40%,,"36,120","73,728","77,546","134,707","114,073",-73.19%,-45.27%,-42.43%,-68.34%,-35.37%,-32.02%,18.09%,0.3,"₹1,440.90",58.49,24.88,23.61,5.38%
ICEMAKE,Ice Make Refrigeration Ltd,2009,"₹1,231 Cr",Small Cap,"Machinery, Equipment & Components",₹796.65,0.07%,₹575.15,"₹1,088.75",38.51%,-26.83%,₹783.75,₹813.25,₹805.21,4.82%,1.36%,-1.12%,-21.34%,8.82%,0.35%,574.56%,,"5,999","22,694","22,886","77,652","63,781",-92.27%,-70.77%,-70.53%,-90.59%,-64.42%,-64.12%,21.75%,0.1,₹796.10,54.38,14.65,15.52,-5.61%
EXPLEOSOL,Expleo Solutions Ltd,1998,"₹1,942 Cr",Small Cap,Software & IT Services,"₹1,241.90",-0.19%,₹735.35,"₹1,567.45",68.89%,-20.77%,"₹1,281.88","₹1,123.00","₹1,143.52",-0.42%,-2.57%,-3.00%,42.90%,-3.05%,-3.55%,4.83%,347.21%,"9,337","14,570","37,900","47,334","40,380",-80.27%,-69.22%,-19.93%,-76.88%,-63.92%,-6.14%,17.22%,0.2,"₹1,244.30",15.89,29.9,29.9,
DREAMFOLKS,Dreamfolks Services Ltd,2008,₹846 Cr,Small Cap,Transport Infrastructure,₹157.54,-3.01%,₹153.00,₹522.15,2.97%,-69.83%,₹206.43,₹242.33,₹319.14,1.81%,-3.02%,-41.42%,-34.32%,-56.86%,-66.63%,,,"99,018","653,636","1,310,654","561,195","420,150",-82.36%,16.47%,133.55%,-76.43%,55.57%,211.95%,33.57%,0.2,₹162.43,12.96,12.17,13.36,-8.91%
KOTHARIPET,Kothari Petrochemicals Ltd,1989,"₹1,064 Cr",Small Cap,Chemicals,₹177.69,-0.75%,₹132.31,₹267.42,34.30%,-33.55%,₹179.59,₹172.34,₹178.56,-0.54%,-0.47%,-2.64%,9.92%,0.81%,14.57%,124.73%,1032.19%,"14,036","32,571","59,663","76,843","87,367",-81.73%,-57.61%,-22.36%,-83.93%,-62.72%,-31.71%,-12.05%,0.2,₹179.04,15.95,11.18,11.42,-2.10%
SHANTIGEAR,Shanthi Gears Ltd,1972,"₹3,981 Cr",Small Cap,"Machinery, Equipment & Components",₹526.20,1.78%,₹399.00,₹699.40,31.88%,-24.76%,₹502.97,₹500.29,₹498.59,3.62%,3.38%,-1.81%,9.30%,12.27%,-22.63%,136.97%,529.10%,"49,837","44,288","53,316","51,722","43,561",-3.64%,-14.37%,3.08%,14.41%,1.67%,22.40%,18.73%,1.0,₹517.00,42.34,12.52,11.18,11.99%
SOLARINDS,Solar Industries India Ltd,1995,"₹139,536 Cr",Large Cap,Chemicals,"₹15,270.00",-0.62%,"₹8,482.50","₹17,820.00",80.02%,-14.31%,"₹16,696.15","₹15,911.12","₹11,823.48",0.32%,-7.51%,-10.27%,24.76%,60.09%,29.55%,465.59%,1382.97%,"41,508","166,200","170,005","183,607","150,831",-77.39%,-9.48%,-7.41%,-72.48%,10.19%,12.71%,21.73%,0.2,"₹15,366.00",114.05,133.65,102.23,30.73%
GRINFRA,G R Infraprojects Ltd,1995,"₹12,228 Cr",Mid Cap,Construction & Engineering,"₹1,278.70",-0.55%,₹901.00,"₹1,810.00",41.92%,-29.35%,"₹1,280.47","₹1,266.78","₹1,301.02",0.55%,0.04%,-3.76%,17.49%,-3.02%,-28.12%,1.57%,,"4,803","27,522","40,836","54,708","126,058",-91.22%,-49.69%,-25.36%,-96.19%,-78.17%,-67.61%,-56.60%,0.1,"₹1,285.80",30.7,41.72,120.87,-65.48%
ASIANPAINT,Asian Paints Ltd,1945,"₹233,797 Cr",Mega Cap,Chemicals,"₹2,413.00",0.81%,"₹2,124.75","₹3,394.90",13.57%,-28.92%,"₹2,369.99","₹2,318.55","₹2,405.46",0.47%,-3.44%,7.49%,-2.22%,8.22%,-18.88%,-20.04%,40.46%,"731,230","1,162,816","1,149,610","1,195,838","1,217,454",-38.85%,-2.76%,-3.87%,-39.94%,-4.49%,-5.57%,-1.78%,0.6,"₹2,393.50",63.15,38.25,52.98,-27.80%
HGINFRA,HG Infra Engineering Ltd,2003,"₹7,086 Cr",Mid Cap,Construction & Engineering,"₹1,106.50",2.26%,₹928.55,"₹1,879.90",19.16%,-41.14%,"₹1,055.08","₹1,094.66","₹1,215.42",3.30%,3.97%,5.13%,-1.38%,-18.23%,-37.85%,105.02%,482.37%,"130,878","179,742","139,066","125,404","110,656",4.37%,43.33%,10.89%,18.27%,62.43%,25.67%,13.33%,1.0,"₹1,082.40",14.28,77.55,84.51,-8.24%
BECTORFOOD,Mrs. Bectors Food Specialities Ltd,1995,"₹8,907 Cr",Mid Cap,Food & Tobacco,"₹1,490.20",1.90%,"₹1,276.00","₹2,200.00",16.79%,-32.26%,"₹1,389.16","₹1,438.39","₹1,553.66",2.73%,2.94%,7.37%,-4.47%,-0.79%,4.12%,385.72%,,"151,519","91,626","125,626","89,632","92,971",69.04%,2.22%,40.16%,62.97%,-1.45%,35.12%,-3.59%,1.7,"₹1,462.40",62.62,23.78,23.95,-0.71%
INDRAMEDCO,Indraprastha Medical Corporation Ltd,1988,"₹4,474 Cr",Small Cap,Healthcare Providers & Services,₹495.65,0.06%,₹232.50,₹572.00,113.18%,-13.35%,₹459.25,₹435.93,₹434.59,0.18%,0.56%,20.82%,17.66%,8.27%,100.22%,789.06%,885.39%,"55,387","195,232","439,686","275,063","264,454",-79.86%,-29.02%,59.85%,-79.06%,-26.18%,66.26%,4.01%,0.2,₹495.35,28.27,17.56,15.07,16.52%
RADIANTCMS,Radiant Cash Management Services Ltd,2005,₹661 Cr,Small Cap,Professional & Commercial Services,₹61.15,0.16%,₹49.38,₹91.50,23.84%,-33.17%,₹62.43,₹64.90,₹68.39,0.34%,-1.31%,-4.90%,-8.29%,-16.62%,-25.27%,,,"215,572","285,852","274,762","308,770","457,015",-30.18%,-7.42%,-11.01%,-52.83%,-37.45%,-39.88%,-32.44%,0.7,₹61.05,13.87,4.41,3.86,14.25%
SIGMA,Sigma Solve Ltd,2010,₹393 Cr,Micro Cap,Software & IT Services,₹374.00,1.40%,₹210.10,₹431.65,78.01%,-13.36%,₹376.36,₹358.76,₹327.13,1.29%,1.09%,-2.07%,41.58%,13.71%,-9.98%,59.97%,,"1,269","2,899","5,808","21,119","22,738",-93.99%,-86.27%,-72.50%,-94.42%,-87.25%,-74.46%,-7.12%,0.1,₹368.85,20.14,18.57,16.04,15.77%
SESHAPAPER,Seshasayee Paper and Boards Ltd,1960,"₹1,862 Cr",Small Cap,Paper & Forest Products,₹294.00,-0.94%,₹256.25,₹373.45,14.73%,-21.27%,₹300.19,₹289.07,₹292.12,-1.08%,-3.64%,4.11%,8.23%,-2.50%,-19.21%,44.54%,91.78%,"15,881","20,006","38,039","25,864","23,986",-38.60%,-22.65%,47.07%,-33.79%,-16.59%,58.59%,7.83%,0.6,₹296.80,16.23,18.13,39.18,-53.73%
TNPL,Tamilnadu Newsprint & Papers Ltd,1979,"₹1,173 Cr",Small Cap,Paper & Forest Products,₹171.03,0.36%,₹115.50,₹277.00,48.08%,-38.26%,₹167.94,₹162.40,₹162.34,1.92%,-3.34%,6.49%,30.92%,-1.00%,-37.09%,-15.50%,51.15%,"32,068","165,031","220,843","177,778","212,422",-81.96%,-7.17%,24.22%,-84.90%,-22.31%,3.96%,-16.31%,0.2,₹170.42,317.2,0.54,14.66,-96.32%
NH,Narayana Hrudayalaya Ltd,2000,"₹40,665 Cr",Large Cap,Healthcare Providers & Services,"₹1,964.90",-0.99%,"₹1,171.00","₹2,370.20",67.80%,-17.10%,"₹2,010.98","₹1,873.61","₹1,537.06",-2.72%,-0.22%,1.59%,5.96%,52.55%,57.93%,190.75%,604.27%,"133,464","338,981","678,427","533,402","793,679",-74.98%,-36.45%,27.19%,-83.18%,-57.29%,-14.52%,-32.79%,0.3,"₹1,984.50",50.55,38.86,39.73,-2.19%
JWL,Jupiter Wagons Ltd,1979,"₹15,738 Cr",Mid Cap,"Machinery, Equipment & Components",₹372.30,0.59%,₹270.05,₹671.15,37.86%,-44.53%,₹377.69,₹386.04,₹412.87,0.96%,-0.81%,-4.82%,-3.00%,-14.01%,-43.74%,512.08%,,"308,782","565,296","910,753","2,016,414","3,935,635",-84.69%,-71.97%,-54.83%,-92.15%,-85.64%,-76.86%,-48.77%,0.2,₹370.20, , , ,
BAFNAPH,Bafna Pharmaceuticals Ltd,1995,₹197 Cr,Micro Cap,Pharmaceuticals,₹89.62,0.67%,₹69.00,₹94.99,29.88%,-5.65%,₹82.93,₹77.84,₹78.70,4.88%,5.26%,22.47%,19.75%,10.53%,4.72%,-19.73%,300.09%,"4,569","6,021","9,123","5,427","3,972",-15.80%,10.95%,68.12%,15.02%,51.56%,129.66%,36.61%,0.8,₹89.02,50.92,1.76,0.12,1366.67%
ACI,Archean Chemical Industries Ltd,2009,"₹8,252 Cr",Mid Cap,Chemicals,₹686.05,-1.80%,₹408.35,₹832.00,68.01%,-17.54%,₹640.69,₹627.94,₹613.00,-0.15%,2.05%,8.24%,7.42%,14.04%,-2.31%,,,"140,973","249,201","171,450","266,482","499,203",-47.10%,-6.49%,-35.66%,-71.76%,-50.08%,-65.66%,-46.62%,0.5,₹698.60,52.26,13.13,21.86,-39.94%
SCHNEIDER,Schneider Electric Infrastructure Ltd,2011,"₹20,303 Cr",Large Cap,"Machinery, Equipment & Components",₹869.90,-0.05%,₹540.00,₹884.55,61.09%,-1.66%,₹810.74,₹743.50,₹721.00,3.22%,5.43%,16.01%,43.51%,21.65%,9.05%,703.97%,990.78%,"44,320","112,779","141,772","506,812","432,962",-91.26%,-77.75%,-72.03%,-89.76%,-73.95%,-67.26%,17.06%,0.1,₹870.30,77.86,11.2,7.76,44.33%
GRAVITA,Gravita India Limited,1992,"₹12,654 Cr",Mid Cap,Metals & Mining,"₹1,729.90",0.34%,"₹1,310.10","₹2,700.00",32.04%,-35.93%,"₹1,777.87","₹1,844.35","₹1,976.37",-0.01%,-3.50%,-0.47%,-12.51%,-18.05%,21.67%,562.80%,3565.04%,"76,172","172,706","320,263","389,323","384,454",-80.43%,-55.64%,-17.74%,-80.19%,-55.08%,-16.70%,1.27%,0.2,"₹1,724.10",38.35,45.11,36.97,22.02%
SWARAJENG,Swaraj Engines Ltd,1985,"₹4,970 Cr",Small Cap,Automobiles & Auto Parts,"₹4,653.00",1.22%,"₹2,517.00","₹4,720.00",84.86%,-1.42%,"₹4,124.38","₹4,058.77","₹3,448.72",11.55%,9.51%,16.06%,12.47%,59.91%,62.40%,217.04%,225.38%,"151,154","133,920","66,256","38,413","31,987",293.49%,248.63%,72.48%,372.55%,318.67%,107.13%,20.09%,3.9,"₹4,596.70",34.08,136.61,115.35,18.43%
DPWIRES,D P Wires Ltd,1998,₹356 Cr,Micro Cap,Metals & Mining,₹230.47,1.82%,₹185.99,₹459.80,23.92%,-49.88%,₹231.65,₹236.48,₹290.28,1.20%,-1.83%,-0.83%,3.37%,-28.98%,-49.15%,-12.45%,379.35%,"5,912","12,490","15,764","26,557","27,590",-77.74%,-52.97%,-40.64%,-78.57%,-54.73%,-42.86%,-3.74%,0.2,₹226.35,16.08,14.33,20.91,-31.47%
ASHAPURMIN,Ashapura Minechem Ltd,1982,"₹4,461 Cr",Small Cap,Metals & Mining,₹528.20,-0.38%,₹200.45,₹571.55,163.51%,-7.58%,₹439.70,₹407.23,₹382.10,8.71%,17.09%,36.26%,37.02%,19.84%,42.91%,369.51%,1175.85%,"263,188","1,065,174","578,500","436,763","430,725",-39.74%,143.88%,32.45%,-38.90%,147.30%,34.31%,1.40%,0.6,₹530.20,16.8,31.46,25.91,21.42%
JAIBALAJI,Jai Balaji Industries Ltd.,1999,"₹11,101 Cr",Mid Cap,Metals & Mining,₹121.60,-0.14%,₹99.06,₹236.00,22.75%,-48.47%,₹119.44,₹112.32,₹154.38,-0.26%,-0.21%,14.15%,-8.67%,-26.81%,-27.80%,1401.48%,2761.65%,"302,428","888,748","4,439,778","2,152,086","1,433,967",-85.95%,-58.70%,106.30%,-78.91%,-38.02%,209.62%,50.08%,0.1,₹121.77,19.68,6.18,54.71,-88.70%
KPITTECH,KPIT Technologies Ltd,2018,"₹34,489 Cr",Large Cap,Software & IT Services,"₹1,297.90",0.46%,"₹1,020.60","₹1,921.00",27.17%,-32.44%,"₹1,294.88","₹1,320.79","₹1,361.83",2.42%,3.04%,-7.68%,14.23%,-3.29%,-30.55%,157.83%,1797.51%,"255,724","751,963","1,530,556","1,356,525","1,348,731",-81.15%,-44.57%,12.83%,-81.04%,-44.25%,13.48%,0.58%,0.2,"₹1,291.90",42.23,30.7,24.34,26.13%
DEVIT,Dev Information Technology Ltd,1997,₹256 Cr,Micro Cap,Software & IT Services,₹113.92,0.47%,₹94.43,₹191.00,20.64%,-40.36%,₹112.21,₹109.24,₹132.79,1.11%,-2.78%,5.59%,2.86%,-32.52%,-20.98%,37.01%,,"9,141","26,723","50,352","57,929","98,026",-84.22%,-53.87%,-13.08%,-90.67%,-72.74%,-48.63%,-40.90%,0.2,₹113.39,17.26,6.6,4.92,34.15%
VBL,Varun Beverages Ltd,1995,"₹153,008 Cr",Large Cap,Beverages,₹475.85,1.29%,₹419.55,₹681.12,13.42%,-30.14%,₹459.13,₹474.62,₹542.44,3.18%,2.17%,0.57%,-14.53%,-15.10%,-25.60%,177.90%,675.25%,"5,357,460","8,039,827","7,932,786","8,147,753","8,625,137",-34.25%,-1.32%,-2.64%,-37.89%,-6.79%,-8.03%,-5.53%,0.7,₹469.80,56.29,8.47,18.63,-54.54%
